Metrics,Description (Detailed)
shrubs_l1_std,Standard deviation of the heights of points in the Shrub classified voxelized point cloud
shrubs_l1_tgi,Triangular greenness index of points in the Shrub classified voxelized point cloud
shrubs_l1_vari,Visual atmospheric resistance index of points in the Shrub classified voxelized point cloud
shrubs_l1_skew,Skewness of point heights in the Shrub classified voxelized point cloud
shrubs_l1_kurt,Kurtosis of point heights in the Shrub classified voxelized point cloud
ShrubsN,Number of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points
shrubArea,Area of shrubs in the point cloud (m‹¨«) calculated from the cloth simulation filter method used to classify shrub points
scaledShrubArea,Estimated area of shrubs per acre (ft‹¨«/acre) calculated from the cloth simulation filter method used to classify shrub points
MeanSH,Mean height of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points
MeanSA,Mean area of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points
MaxSH,Maximum height of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points
SDSHT,Standard deviation of height of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points
MeanSD,Mean distance between centroids of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points
MaxSD,Maximum distance between centroids of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points
MinSD,Minimum distance between centroids of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points
SDSD,Standard deviation of distance between centroids of shrubs in the point cloud calculated from the cloth simulation filter method used to classify shrub points
fine_l1_cnt,Count of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed
fine_l1_mean,Mean height of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed
fine_l1_median,Median height of points in height strata0-3 m high voxelized point clouds with tree stems and shrubs removed
fine_l1_std,Standard deviation of the heights of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed
fine_l1_tgi,Triangular greenness index of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed
fine_l1_vari,Visual atmospheric resistance index of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed
fine_l1_skew,Skewness of point heights in the 0-3 m high voxelized point clouds with tree stems and shrubs removed
fine_l1_kurt,Kurtosis of point heights in the 0-3 m high voxelized point clouds with tree stems and shrubs removed
hr0_10_l1_cnt,Count of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points
hr0_10_l1_mean,Mean height of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points
hr0_10_l1_median,Median height of points in height strata0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points
hr0_10_l1_std,Standard deviation of the heights of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points
hr0_10_l1_tgi,Triangular greenness index of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points
hr0_10_l1_vari,Visual atmospheric resistance index of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points
hr0_10_l1_skew,Skewness of point heights in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points
hr0_10_l1_kurt,Kurtosis of point heights in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 0-10 hour fuel points
hr100_1000_l1_cnt,Count of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points
hr100_1000_l1_mean,Mean height of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points
hr100_1000_l1_median,Median height of points in height strata0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points
hr100_1000_l1_std,Standard deviation of the heights of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points
hr100_1000_l1_tgi,Triangular greenness index of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points
hr100_1000_l1_vari,Visual atmospheric resistance index of points in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points
hr100_1000_l1_skew,Skewness of point heights in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points
hr100_1000_l1_kurt,Kurtosis of point heights in the 0-3 m high voxelized point clouds with tree stems and shrubs removed and KNN analysis selecting for 100-1000 hour fuel points
