Metrics,Scan Division,Metric type,Raw point cloud/Voxelized point cloud,Description (simplified),Description (Detailed),,,,,,,,,,
h_zq90,Quantiles of point cloud,General,Raw,Ninetieth percentile height of points in the point cloud,The Ninetieth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq95,Quantiles of point cloud,General,Raw,Ninety-fifth percentile height of points in the point cloud,The Ninety-fifth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zpcum1,Entire point cloud,General,Raw,Percent of points below the tenth height percentile,Percent of points below the tenth height percentile (includes ground points),,,,,,,,,,1
h_zpcum2,Entire point cloud,General,Raw,Percent of points below the twentieth height percentile,Percent of points below the twentieth height percentile (includes ground points),,,,,,,,,,1
h_zpcum3,Entire point cloud,General,Raw,Percent of points below the thirtieth height percentile,Percent of points below the thirtieth height percentile (includes ground points),,,,,,,,,,1
h_zpcum4,Entire point cloud,General,Raw,Percent of points below the fortieth height percentile,Percent of points below the fortieth height percentile (includes ground points),,,,,,,,,,1
h_zpcum5,Entire point cloud,General,Raw,Percent of points below the fiftieth height percentile,Percent of points below the fiftieth height percentile (includes ground points),,,,,,,,,,1
h_zpcum6,Entire point cloud,General,Raw,Percent of points below the sixtieth height percentile,Percent of points below the sixtieth height percentile (includes ground points),,,,,,,,,,1
h_zpcum7,Entire point cloud,General,Raw,Percent of points below the seventieth height percentile,Percent of points below the seventieth height percentile (includes ground points),,,,,,,,,,1
h_zpcum8,Entire point cloud,General,Raw,Percent of points below the eightieth height percentile,Percent of points below the eightieth height percentile (includes ground points),,,,,,,,,,1
h_zpcum9,Entire point cloud,General,Raw,Percent of points below the ninetieth height percentile,Percent of points below the ninetieth height percentile (includes ground points),,,,,,,,,,1
per_gap,Entire point cloud,General,Raw,Percent of unreturned points,Percent of unreturned points to the total number of pulses in the entire scan,,,,,,,,,,1
s_lng_na_per,Entire point cloud,General,Raster,Percent of area of occluded points,Percent of non-ground points in areas occluded by previous returns in the entire scan,,,,,,,,,,1
s_lng_zero_per,Entire point cloud,General,Raster,Percent of true open space,Percent of non-ground points that pass through a layer but are not returned ,,,,,,,,,,1
